"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_DNA_CATABOLIC_PROCESS","GOBP_DNA_CATABOLIC_PROCESS","GOBP_DNA_CATABOLIC_PROCESS","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"ISG20",1
"GOBP_EPITHELIAL_STRUCTURE_MAINTENANCE","GOBP_EPITHELIAL_STRUCTURE_MAINTENANCE","GOBP_EPITHELIAL_STRUCTURE_MAINTENANCE","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"TLR4",1
"GOBP_GPI_ANCHOR_METABOLIC_PROCESS","GOBP_GPI_ANCHOR_METABOLIC_PROCESS","GOBP_GPI_ANCHOR_METABOLIC_PROCESS","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"PIGL",1
"GOBP_INNER_EAR_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION","GOBP_INNER_EAR_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION","GOBP_INNER_EAR_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"SDC4",1
"GOBP_INTRACELLULAR_STEROL_TRANSPORT","GOBP_INTRACELLULAR_STEROL_TRANSPORT","GOBP_INTRACELLULAR_STEROL_TRANSPORT","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"LDLR",1
"GOBP_METANEPHROS_MORPHOGENESIS","GOBP_METANEPHROS_MORPHOGENESIS","GOBP_METANEPHROS_MORPHOGENESIS","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"FMN1",1
"GOBP_MYELOID_CELL_APOPTOTIC_PROCESS","GOBP_MYELOID_CELL_APOPTOTIC_PROCESS","GOBP_MYELOID_CELL_APOPTOTIC_PROCESS","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"PTEN",1
"GOBP_NEGATIVE_REGULATION_OF_DNA_REPLICATION","GOBP_NEGATIVE_REGULATION_OF_DNA_REPLICATION","GOBP_NEGATIVE_REGULATION_OF_DNA_REPLICATION","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"BCL6",1
"GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"REL",1
"GOBP_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION","GOBP_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION","GOBP_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"PTEN",1
"GOBP_POSITIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT","GOBP_POSITIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT","GOBP_POSITIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"PRKCH",1
"GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"PTEN",1
"GOBP_PROTEIN_KINASE_C_SIGNALING","GOBP_PROTEIN_KINASE_C_SIGNALING","GOBP_PROTEIN_KINASE_C_SIGNALING","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"PLEK",1
"GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR","GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR","GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"CD44",1
"GOBP_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION","GOBP_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION","GOBP_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"OOEP",1
"GOBP_REGULATION_OF_NEURON_PROJECTION_REGENERATION","GOBP_REGULATION_OF_NEURON_PROJECTION_REGENERATION","GOBP_REGULATION_OF_NEURON_PROJECTION_REGENERATION","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"PTEN",1
"GOBP_REGULATION_OF_RUFFLE_ASSEMBLY","GOBP_REGULATION_OF_RUFFLE_ASSEMBLY","GOBP_REGULATION_OF_RUFFLE_ASSEMBLY","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"ICAM1",1
"GOBP_TRANSPOSITION","GOBP_TRANSPOSITION","GOBP_TRANSPOSITION","1/201","32/17872",0.303890090338494,0.412985940537462,0.296566998603926,"THAP9",1
"GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT","GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT","GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT","2/201","99/17872",0.306215987828568,0.415767998039426,0.298564806186013,"MCTP1/SYN1",2
"GOBP_STEROL_HOMEOSTASIS","GOBP_STEROL_HOMEOSTASIS","GOBP_STEROL_HOMEOSTASIS","2/201","99/17872",0.306215987828568,0.415767998039426,0.298564806186013,"EHD1/LDLR",2
"GOBP_RESPONSE_TO_BMP","GOBP_RESPONSE_TO_BMP","GOBP_RESPONSE_TO_BMP","3/201","173/17872",0.308446097398364,0.41860541789778,0.30060236971681,"HIPK2/TNFAIP6/EGR1",3
"GOBP_AMINE_TRANSPORT","GOBP_AMINE_TRANSPORT","GOBP_AMINE_TRANSPORT","2/201","100/17872",0.310361879221304,0.419487860748958,0.301236055763054,"AQP9/TNF",2
"GOBP_NUCLEOTIDE_PHOSPHORYLATION","GOBP_NUCLEOTIDE_PHOSPHORYLATION","GOBP_NUCLEOTIDE_PHOSPHORYLATION","2/201","100/17872",0.310361879221304,0.419487860748958,0.301236055763054,"INSR/STAT3",2
"GOBP_POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION","GOBP_POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION","GOBP_POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION","2/201","100/17872",0.310361879221304,0.419487860748958,0.301236055763054,"TNF/STAT3",2
"GOBP_RESPONSE_TO_LEUKEMIA_INHIBITORY_FACTOR","GOBP_RESPONSE_TO_LEUKEMIA_INHIBITORY_FACTOR","GOBP_RESPONSE_TO_LEUKEMIA_INHIBITORY_FACTOR","2/201","100/17872",0.310361879221304,0.419487860748958,0.301236055763054,"ICAM1/TEX14",2
"GOBP_CGMP_MEDIATED_SIGNALING","GOBP_CGMP_MEDIATED_SIGNALING","GOBP_CGMP_MEDIATED_SIGNALING","1/201","33/17872",0.311733032706317,0.419487860748958,0.301236055763054,"THBS1",1
"GOBP_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION","GOBP_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION","GOBP_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION","1/201","33/17872",0.311733032706317,0.419487860748958,0.301236055763054,"TNF",1
"GOBP_FEMALE_MEIOTIC_NUCLEAR_DIVISION","GOBP_FEMALE_MEIOTIC_NUCLEAR_DIVISION","GOBP_FEMALE_MEIOTIC_NUCLEAR_DIVISION","1/201","33/17872",0.311733032706317,0.419487860748958,0.301236055763054,"EREG",1
"GOBP_FLUID_TRANSPORT","GOBP_FLUID_TRANSPORT","GOBP_FLUID_TRANSPORT","1/201","33/17872",0.311733032706317,0.419487860748958,0.301236055763054,"AQP9",1
"GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS","GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS","GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS","1/201","33/17872",0.311733032706317,0.419487860748958,0.301236055763054,"ST6GALNAC3",1
"GOBP_LEUKOCYTE_TETHERING_OR_ROLLING","GOBP_LEUKOCYTE_TETHERING_OR_ROLLING","GOBP_LEUKOCYTE_TETHERING_OR_ROLLING","1/201","33/17872",0.311733032706317,0.419487860748958,0.301236055763054,"TNF",1
"GOBP_MESODERMAL_CELL_DIFFERENTIATION","GOBP_MESODERMAL_CELL_DIFFERENTIATION","GOBP_MESODERMAL_CELL_DIFFERENTIATION","1/201","33/17872",0.311733032706317,0.419487860748958,0.301236055763054,"KDM6B",1
"GOBP_NEGATIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY","GOBP_NEGATIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY","GOBP_NEGATIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY","1/201","33/17872",0.311733032706317,0.419487860748958,0.301236055763054,"PTPN2",1
"GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS","1/201","33/17872",0.311733032706317,0.419487860748958,0.301236055763054,"BCL6",1
"GOBP_POSITIVE_REGULATION_OF_MUSCLE_CELL_APOPTOTIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_MUSCLE_CELL_APOPTOTIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_MUSCLE_CELL_APOPTOTIC_PROCESS","1/201","33/17872",0.311733032706317,0.419487860748958,0.301236055763054,"SOD2",1
"GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT","GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT","GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT","1/201","33/17872",0.311733032706317,0.419487860748958,0.301236055763054,"PKP2",1
"GOBP_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION","GOBP_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION","GOBP_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION","1/201","33/17872",0.311733032706317,0.419487860748958,0.301236055763054,"PTEN",1
"GOBP_REGULATION_OF_AEROBIC_RESPIRATION","GOBP_REGULATION_OF_AEROBIC_RESPIRATION","GOBP_REGULATION_OF_AEROBIC_RESPIRATION","1/201","33/17872",0.311733032706317,0.419487860748958,0.301236055763054,"TNF",1
"GOBP_RESPONSE_TO_STEROL","GOBP_RESPONSE_TO_STEROL","GOBP_RESPONSE_TO_STEROL","1/201","33/17872",0.311733032706317,0.419487860748958,0.301236055763054,"CCL3",1
"GOBP_CAMERA_TYPE_EYE_DEVELOPMENT","GOBP_CAMERA_TYPE_EYE_DEVELOPMENT","GOBP_CAMERA_TYPE_EYE_DEVELOPMENT","5/201","329/17872",0.311908841817361,0.419487860748958,0.301236055763054,"ALDH1A2/CLIC4/HIPK2/LIMK2/FLT1",5
"GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH","GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH","GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH","5/201","329/17872",0.311908841817361,0.419487860748958,0.301236055763054,"PTEN/INSR/STAT3/DUSP6/SAV1",5
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT","2/201","101/17872",0.314502756224771,0.422405097622013,0.303330936238967,"CCL4/CCL3",2
"GOBP_OOGENESIS","GOBP_OOGENESIS","GOBP_OOGENESIS","2/201","101/17872",0.314502756224771,0.422405097622013,0.303330936238967,"EREG/TNFAIP6",2
"GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION","GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION","GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION","2/201","101/17872",0.314502756224771,0.422405097622013,0.303330936238967,"AKAP13/SDC4",2
"GOBP_PHOSPHOLIPID_TRANSPORT","GOBP_PHOSPHOLIPID_TRANSPORT","GOBP_PHOSPHOLIPID_TRANSPORT","2/201","102/17872",0.318638208681693,0.425271234978149,0.305389121929719,"LDLR/VMP1",2
"GOBP_REGULATION_OF_BIOMINERALIZATION","GOBP_REGULATION_OF_BIOMINERALIZATION","GOBP_REGULATION_OF_BIOMINERALIZATION","2/201","102/17872",0.318638208681693,0.425271234978149,0.305389121929719,"CCL3/SGMS2",2
"GOBP_AMYLOID_FIBRIL_FORMATION","GOBP_AMYLOID_FIBRIL_FORMATION","GOBP_AMYLOID_FIBRIL_FORMATION","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"LDLR",1
"GOBP_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION","GOBP_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION","GOBP_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"PKP2",1
"GOBP_DEVELOPMENTAL_INDUCTION","GOBP_DEVELOPMENTAL_INDUCTION","GOBP_DEVELOPMENTAL_INDUCTION","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"HIPK2",1
"GOBP_GLYCEROPHOSPHOLIPID_CATABOLIC_PROCESS","GOBP_GLYCEROPHOSPHOLIPID_CATABOLIC_PROCESS","GOBP_GLYCEROPHOSPHOLIPID_CATABOLIC_PROCESS","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"LDLR",1
"GOBP_MATURE_B_CELL_DIFFERENTIATION","GOBP_MATURE_B_CELL_DIFFERENTIATION","GOBP_MATURE_B_CELL_DIFFERENTIATION","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"GPR183",1
"GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT","GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT","GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"PTPN2",1
"GOBP_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR","GOBP_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR","GOBP_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"CD44",1
"GOBP_POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION","GOBP_POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION","GOBP_POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"STAT3",1
"GOBP_POSITIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION","GOBP_POSITIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION","GOBP_POSITIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"AKAP13",1
"GOBP_PROTEIN_DEMETHYLATION","GOBP_PROTEIN_DEMETHYLATION","GOBP_PROTEIN_DEMETHYLATION","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"KDM6B",1
"GOBP_PROXIMAL_DISTAL_PATTERN_FORMATION","GOBP_PROXIMAL_DISTAL_PATTERN_FORMATION","GOBP_PROXIMAL_DISTAL_PATTERN_FORMATION","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"ALDH1A2",1
"GOBP_REGULATION_OF_CELL_CYCLE_CHECKPOINT","GOBP_REGULATION_OF_CELL_CYCLE_CHECKPOINT","GOBP_REGULATION_OF_CELL_CYCLE_CHECKPOINT","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"DUSP1",1
"GOBP_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION","GOBP_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION","GOBP_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"NFE2L2",1
"GOBP_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE","GOBP_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE","GOBP_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"LDLR",1
"GOBP_REGULATION_OF_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_REGULATION_OF_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_REGULATION_OF_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"ADGRE2",1
"GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION","GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION","GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"IL1RAPL1",1
"GOBP_RESPONSE_TO_INTERLEUKIN_4","GOBP_RESPONSE_TO_INTERLEUKIN_4","GOBP_RESPONSE_TO_INTERLEUKIN_4","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"PTPN2",1
"GOBP_RETINOIC_ACID_METABOLIC_PROCESS","GOBP_RETINOIC_ACID_METABOLIC_PROCESS","GOBP_RETINOIC_ACID_METABOLIC_PROCESS","1/201","34/17872",0.319488044782444,0.425271234978149,0.305389121929719,"ALDH1A2",1
"GOBP_MUSCLE_ORGAN_DEVELOPMENT","GOBP_MUSCLE_ORGAN_DEVELOPMENT","GOBP_MUSCLE_ORGAN_DEVELOPMENT","5/201","333/17872",0.320731400085815,0.42673584587689,0.306440865380832,"CFLAR/BTG2/MAFF/PKP2/EGR1",5
"GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS","GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS","GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS","6/201","413/17872",0.320886264032107,0.426751549535343,0.306452142246211,"PELI1/RNF144B/RNF19B/N4BP1/PLK3/NFE2L2",6
"GOBP_POSITIVE_REGULATION_OF_HISTONE_MODIFICATION","GOBP_POSITIVE_REGULATION_OF_HISTONE_MODIFICATION","GOBP_POSITIVE_REGULATION_OF_HISTONE_MODIFICATION","2/201","103/17872",0.322767836200706,0.428715524016099,0.307862480855642,"IL1B/BCL6",2
"GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME","GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME","GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME","2/201","103/17872",0.322767836200706,0.428715524016099,0.307862480855642,"MBNL1/RBFOX2",2
"GOBP_HEART_MORPHOGENESIS","GOBP_HEART_MORPHOGENESIS","GOBP_HEART_MORPHOGENESIS","4/201","255/17872",0.322794189386577,0.428715524016099,0.307862480855642,"ALDH1A2/INSR/SAV1/PKP2",4
"GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","6/201","415/17872",0.324847289806557,0.429725525633259,0.308587767406067,"GPR132/PTEN/DUSP1/PLK3/TEX14/CCND3",6
"GOBP_DIGESTIVE_SYSTEM_PROCESS","GOBP_DIGESTIVE_SYSTEM_PROCESS","GOBP_DIGESTIVE_SYSTEM_PROCESS","2/201","104/17872",0.326891247990478,0.429725525633259,0.308587767406067,"LDLR/TLR4",2
"GOBP_LIPOSACCHARIDE_METABOLIC_PROCESS","GOBP_LIPOSACCHARIDE_METABOLIC_PROCESS","GOBP_LIPOSACCHARIDE_METABOLIC_PROCESS","2/201","104/17872",0.326891247990478,0.429725525633259,0.308587767406067,"ST6GALNAC3/PIGL",2
"GOBP_MUSCLE_CELL_MIGRATION","GOBP_MUSCLE_CELL_MIGRATION","GOBP_MUSCLE_CELL_MIGRATION","2/201","104/17872",0.326891247990478,0.429725525633259,0.308587767406067,"NFE2L2/TLR4",2
"GOBP_NEURAL_TUBE_FORMATION","GOBP_NEURAL_TUBE_FORMATION","GOBP_NEURAL_TUBE_FORMATION","2/201","104/17872",0.326891247990478,0.429725525633259,0.308587767406067,"ADM/SDC4",2
"GOBP_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","GOBP_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","GOBP_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","2/201","104/17872",0.326891247990478,0.429725525633259,0.308587767406067,"FPR2/FPR1",2
"GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT","GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT","GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT","2/201","104/17872",0.326891247990478,0.429725525633259,0.308587767406067,"IL1B/PTGS2",2
"GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID","GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID","GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"LDLR",1
"GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_AXONOGENESIS","GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_AXONOGENESIS","GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_AXONOGENESIS","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"PTEN",1
"GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY_IN_RESPONSE_TO_VIRUS","GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY_IN_RESPONSE_TO_VIRUS","GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY_IN_RESPONSE_TO_VIRUS","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"BIRC3",1
"GOBP_EMBRYONIC_EYE_MORPHOGENESIS","GOBP_EMBRYONIC_EYE_MORPHOGENESIS","GOBP_EMBRYONIC_EYE_MORPHOGENESIS","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"HIPK2",1
"GOBP_LONG_TERM_MEMORY","GOBP_LONG_TERM_MEMORY","GOBP_LONG_TERM_MEMORY","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"LDLR",1
"GOBP_MAINTENANCE_OF_BLOOD_BRAIN_BARRIER","GOBP_MAINTENANCE_OF_BLOOD_BRAIN_BARRIER","GOBP_MAINTENANCE_OF_BLOOD_BRAIN_BARRIER","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"PTGS2",1
"GOBP_NEGATIVE_REGULATION_OF_EXOCYTOSIS","GOBP_NEGATIVE_REGULATION_OF_EXOCYTOSIS","GOBP_NEGATIVE_REGULATION_OF_EXOCYTOSIS","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"IL1RAPL1",1
"GOBP_NEGATIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY","GOBP_NEGATIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY","GOBP_NEGATIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"NFKB1",1
"GOBP_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE","GOBP_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE","GOBP_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"HNRNPC",1
"GOBP_NEUROTRANSMITTER_REUPTAKE","GOBP_NEUROTRANSMITTER_REUPTAKE","GOBP_NEUROTRANSMITTER_REUPTAKE","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"SLC1A2",1
"GOBP_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS","GOBP_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS","GOBP_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"PTGS2",1
"GOBP_POSITIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"CCND3",1
"GOBP_POSITIVE_REGULATION_OF_DENDRITE_MORPHOGENESIS","GOBP_POSITIVE_REGULATION_OF_DENDRITE_MORPHOGENESIS","GOBP_POSITIVE_REGULATION_OF_DENDRITE_MORPHOGENESIS","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"IL1RAPL1",1
"GOBP_PROTEIN_K63_LINKED_DEUBIQUITINATION","GOBP_PROTEIN_K63_LINKED_DEUBIQUITINATION","GOBP_PROTEIN_K63_LINKED_DEUBIQUITINATION","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"TNFAIP3",1
"GOBP_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE","GOBP_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE","GOBP_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"SAV1",1
"GOBP_RESPONSE_TO_VITAMIN_D","GOBP_RESPONSE_TO_VITAMIN_D","GOBP_RESPONSE_TO_VITAMIN_D","1/201","35/17872",0.327156107513621,0.429725525633259,0.308587767406067,"PTGS2",1
